domains,dest_ip
worldofsolitaire.com,184.95.52.107
llbean.com,104.120.79.103
etoro.com,23.9.22.6
sci-hub.tw,186.2.163.90
unique-tutorials.info,185.233.185.53
championat.com,81.19.86.3
ku.edu,129.237.11.76
naver.com,125.209.222.141
dji.com,13.35.183.58
fast.com,23.1.71.125
unacademy.com,52.76.61.123
letras.com,177.54.157.200
livemaster.ru,89.108.109.102
naukrigulf.com,54.251.99.37
pximg.net,210.140.92.141
panopto.com,54.183.52.254
paisabazaar.com,13.71.27.154
deezer.com,78.40.123.183
tengrinews.kz,89.218.2.188
onenote.com,104.125.30.56
uptodate.com,199.107.238.205
github.com,140.82.113.4
sueddeutsche.de,195.50.177.61
telegraph.co.uk,13.224.66.37
hostgator.com,3.1.243.221
jianshu.com,107.150.101.156
yandex.by,77.88.55.55
vk.me,87.240.190.64
7-zip.org,159.65.89.65
okta.com,18.204.109.174
funnyjunk.com,149.56.126.48
atv.com.tr,185.95.164.88
bluestacks.com,13.35.183.89
emol.com,200.12.20.60
ganji.com,154.8.241.69
pscp.tv,35.154.204.153
fontke.com,117.27.136.118
53.com,23.46.170.210
gmanetwork.com,13.251.82.77
totaljerkface.com,23.92.23.97
theweathernetwork.com,40.114.106.174
mapsofindia.com,15.206.140.100
newegg.com,104.120.64.97
jd.com,118.193.98.63
tp-link.com,13.35.183.40
edureka.co,13.35.183.16
t.co,104.244.42.133
tvtime.com,13.35.183.35
userscloud.com,188.213.242.147
experian.com,205.174.34.33
virtualworldsland.com,107.20.236.24
giph-it.com,40.74.245.188
usaa.com,104.121.244.222
livestrong.com,104.103.244.222
vectorstock.com,52.73.138.78
drp.su,87.117.235.117
dartmouth.edu,129.170.171.44
skribbl.io,193.70.6.186
windows.net,40.113.200.201
yasdl.com,79.127.127.29
theage.com.au,13.35.183.78
faz.net,40.118.6.229
wizards.com,69.8.198.251
accenture.com,170.248.56.19
bitrix24.com,18.232.195.40
soundcloud.com,13.35.171.37
kaspersky.com,77.74.178.29
bostonglobe.com,198.115.82.77
ilpost.it,13.35.183.84
monday.com,13.35.20.39
domestika.org,13.35.183.110
live.com,204.79.197.212
dailystar.co.uk,34.243.71.240
bradesco.com.br,115.186.131.203
teamtreehouse.com,18.211.40.93
czilladx.com,69.164.223.139
marriott.com,92.122.164.130
cutestat.com,103.111.79.79
ups.com,153.2.228.50
mango.com,13.35.183.19
thetrainline.com,23.199.146.33
ebook3000.com,185.39.10.97
thinkific.com,35.196.247.55
miniclip.com,13.35.183.118
goodreads.com,54.239.26.220
cnki.net,103.227.81.121
scotiabank.com,23.8.190.172
victoriassecret.com,98.158.60.206
westernunion.com,66.218.161.27
uwo.ca,129.100.0.79
pantip.com,139.99.68.204
quizizz.com,13.35.183.27
sky.com,90.216.128.5
flypgs.com,194.140.227.49
ibb.co,51.81.57.189
ebay.fr,66.135.195.175
video-browse.com,52.165.135.234
calameo.com,85.233.202.179
rapidtables.com,45.79.137.62
intel.cn,13.91.95.74
levi.com,95.100.130.87
filepuma.com,54.225.175.129
atlassian.com,18.136.214.23
pageuppeople.com,45.60.131.199
ebay.de,66.135.196.249
hide.me,188.166.223.195
amazon.com.mx,54.239.18.174
uod2quk646.com,192.243.59.12
systemrequirementslab.com,3.212.215.225
17track.net,103.251.37.136
scroll.in,142.93.213.69
wixmp.com,23.236.62.147
mcdonalds.com,52.6.111.61
gofundme.com,52.6.73.22
xero.com,13.35.183.97
cardinalcommerce.com,23.21.228.154
time.com,13.35.20.107
reclameaqui.com.br,107.154.102.99
duden.de,3.123.97.17
postermywall.com,54.144.83.42
hardreset.info,5.196.55.229
indiatoday.in,23.2.16.107
icims.com,52.207.139.125
coreldraw.com,54.144.14.206
csdn.net,47.95.164.112
office.com,13.107.6.156
tmall.com,140.205.130.99
gutefrage.net,3.122.88.25
act.org,13.35.183.25
cracked.com,13.224.66.76
hbr.org,13.35.183.14
umich.edu,141.211.243.251
yota.ru,94.25.232.249
greenhouse.io,13.35.183.57
rutracker.org,195.82.146.214
dailymotion.com,195.8.215.136
opinionsample.com,185.61.153.95
trustnav.com,159.89.243.204
y8.com,159.203.184.51
familysearch.org,52.22.194.220
vultr.com,108.61.13.174
freelogoservices.com,198.55.254.91
youzan.com,140.143.255.218
givemesport.com,13.224.66.48
filecrypt.cc,193.23.181.133
rtings.com,13.35.183.81
commbank.com.au,13.35.183.32
myheritage.com,45.60.11.42
livedoor.jp,203.104.153.16
unsw.edu.au,202.58.60.194
bethesda.net,13.35.183.100
pearsoned.com,54.209.16.180
umd.edu,99.84.178.38
chip.de,23.15.33.218
naver.jp,119.235.235.13
infobae.com,23.67.57.88
mytheresa.com,3.123.224.110
eurogamer.net,63.35.17.160
gucci.com,94.199.146.85
sparkfun.com,54.88.232.23
gfycat.com,13.35.173.221
techpowerup.com,168.235.67.115
voot.com,23.211.158.65
viber.com,23.66.151.206
vedantu.com,13.35.183.55
bancobrasil.com.br,170.66.11.10
nchsoftware.com,66.39.83.155
avito.ru,185.89.12.132
joann.com,18.140.242.149
programiz.com,165.227.223.234
wunderlist.com,176.34.107.91
tistory.com,211.231.108.151
eventbrite.com,18.235.224.167
mec.gov.br,200.130.2.135
duke.edu,152.3.72.197
kakao.com,211.249.221.27
enterprise.com,12.43.152.181
espn.com,13.35.183.22
solvetube.site,185.233.185.55
hse.ru,186.2.163.228
tasteofhome.com,40.117.154.240
arduino.cc,100.24.172.113
tinkercad.com,107.23.149.50
cricbuzz.com,35.200.167.142
3djuegos.com,5.145.168.97
prepscholar.com,34.197.172.53
qunar.com,117.122.224.176
focus.de,23.15.33.200
rambler.ru,81.19.82.98
bom.gov.au,134.178.253.144
vueling.com,23.201.186.140
getintopc.com,45.141.156.118
java.com,23.57.224.212
rutgers.edu,128.6.46.111
zoopla.co.uk,34.247.148.60
clipconverter.cc,145.239.154.176
sakura.ne.jp,163.43.24.70
digisport.ro,81.196.8.182
odnoklassniki.ru,217.20.147.1
ilgiornale.it,52.17.26.74
coursera.org,13.35.183.94
supercoloring.com,128.199.46.144
bitbucket.org,18.205.93.1
uci.edu,128.195.188.232
redhat.com,209.132.183.105
formstack.com,13.224.66.21
99designs.com,34.196.252.163
pullandbear.com,23.53.170.7
moovitapp.com,13.35.183.53
airbnb.com,3.224.3.59
codeforces.com,81.27.240.126
nipic.com,122.226.73.53
toppr.com,52.219.62.118
line.me,203.104.138.138
iflscience.com,34.243.168.176
uloz.to,77.48.29.200
hooch.net,159.65.216.232
foodnetwork.com,204.78.50.45
eventbrite.co.uk,52.22.172.91
kitco.com,40.117.188.126
ancestry.com,45.60.108.104
oneplus.com,34.225.248.108
dt2xr6g2i5.com,192.243.59.20
rhymezone.com,107.22.210.87
sjsu.edu,130.65.255.101
lichess.org,37.187.205.99
eset.com,91.228.166.47
nme.com,13.35.183.112
01net.com,52.48.101.234
revcontent.com,3.223.138.242
dotesports.com,104.248.48.89
voanews.com,23.212.99.145
lyft.com,13.35.169.64
bmj.com,13.35.183.4
itch.io,173.255.250.29
howstuffworks.com,13.35.183.31
spanishdict.com,18.204.99.116
appledaily.com,172.227.149.166
prettylittlething.com,23.33.244.47
republika.co.id,54.179.174.200
glosbe.com,149.202.167.2
videoblocks.com,13.35.183.123
beatstars.com,3.210.137.66
agoda.com,103.6.182.20
versus.com,64.237.58.60
sportskeeda.com,52.77.21.98
realclearpolitics.com,66.240.200.101
manychat.com,18.185.191.84
avira.com,52.58.28.12
lonelyplanet.com,54.156.236.159
umn.edu,134.84.159.77
nih.gov,54.235.145.223
info.com,3.228.90.217
gomlab.com,18.210.165.84
hao123.com,202.106.2.86
lloydsbank.co.uk,51.141.44.139
gala.fr,54.93.78.41
calculatorsoup.com,216.92.14.11
stylecraze.com,13.35.183.67
thecrazytourist.com,104.197.69.102
tomtom.com,185.5.122.155
kaspi.kz,194.187.245.10
trello.com,96.7.98.179
gtarcade.com,49.51.44.61
eldiario.es,176.34.179.218
bytefence.com,54.192.150.107
rasekhoon.net,185.147.161.213
successfactors.eu,130.214.229.153
towardsdatascience.com,52.1.173.203
ahcdn.com,88.208.5.14
woot.com,54.145.52.10
smogon.com,142.44.215.113
sciencing.com,96.17.194.27
bilibili.com,139.159.241.37
qiniu.com,117.148.167.194
arizona.edu,128.196.128.233
zulily.com,54.159.104.224
besoccer.com,37.187.252.55
mercadopago.com,13.35.170.99
psychologytoday.com,34.201.204.59
smh.com.au,13.35.183.71
stanford.edu,171.67.215.200
twittervideodownloader.com,165.227.112.236
news18.com,180.179.160.115
pearson.com,34.246.144.185
tabici.com,176.31.240.91
freelancer.com,54.237.118.121
songsterr.com,50.16.251.90
hellomagazine.com,62.22.15.85
sainsburys.co.uk,13.225.87.124
flipkart.com,163.53.78.128
pubg.com,13.35.183.122
netflix.com,52.214.145.233
apple.com,17.172.224.47
xunlei.com,39.104.2.218
darksky.net,54.84.228.58
zee5.com,3.6.97.109
grid.id,18.141.78.84
wonderhowto.com,104.193.19.59
purdue.edu,128.210.7.200
magoosh.com,104.198.154.160
byu.edu,128.187.16.100
tubebuddy.com,52.149.49.234
verizonwireless.com,137.188.80.90
robinhood.com,34.197.137.120
liverpoolfc.com,13.35.183.60
leiphone.com,139.199.91.11
geforce.com,34.194.97.138
66law.cn,39.107.243.96
zbg.com,202.60.245.169
oppo.com,223.202.200.181
neu.edu.cn,210.30.199.4
zerohedge.com,35.227.58.252
privateinternetaccess.com,23.12.197.147
news.com.au,23.215.196.122
al.com,52.204.49.208
digiskills.pk,182.176.19.129
banco.bradesco,23.215.196.29
timeshighereducation.com,34.252.216.20
lego.com,2.21.85.98
undp.org,18.208.33.217
lenta.ru,81.19.72.59
aptoide.com,52.210.122.219
all-free-download.com,157.230.1.149
vidoza.net,91.235.142.9
ign.com,54.159.197.5
mongodb.com,54.175.147.155
pku.edu.cn,162.105.131.160
channel4.com,185.28.202.30
canada.ca,160.106.123.29
musicnotes.com,23.14.206.224
arbeitsagentur.de,195.88.116.198
carid.com,51.81.123.17
yangkeduo.com,118.126.69.55
olx.com.br,13.35.183.49
huffingtonpost.jp,106.10.248.151
tongtool.com,120.77.127.132
mangadex.org,185.178.208.185
secondlife.com,115.186.131.200
bluewin.ch,213.3.75.34
buzzfeed.com,13.35.183.46
trip.com,123.253.46.39
calciomercato.com,35.156.222.67
gamebanana.com,172.93.108.170
cleartrip.com,35.154.241.130
huffpost.com,212.82.100.151
skysports.com,90.216.129.62
stepstone.de,52.29.201.78
samplicio.us,3.93.251.178
blizzard.com,137.221.106.104
crateandbarrel.com,104.120.64.94
plos.org,35.221.53.172
colorado.edu,128.138.129.98
www.nhs.uk,23.8.176.60
biblegateway.com,13.35.183.56
cic.gc.ca,167.44.7.21
paidverts.com,54.88.229.253
pdffiller.com,34.205.91.16
deepl.com,185.22.135.156
xiami.com,203.119.217.18
opera.com,185.26.182.104
directadvert.ru,176.99.0.103
hackernoon.com,35.193.55.160
yy.com,120.195.158.46
0byv9mgbn0.com,192.243.59.13
aol.com,74.6.136.151
gov.on.ca,54.208.81.96
abc.net.au,203.2.218.214
asianetnews.com,13.126.2.13
biglobe.ne.jp,133.208.59.141
admin.ch,162.23.130.190
emirates.com,23.10.227.202
daum.net,203.133.167.16
wuxiaworld.co,182.61.164.142
allrecipes.com,13.93.202.50
yektanet.com,185.120.221.247
jcrew.com,195.95.193.104
flickr.com,13.35.169.209
popsci.com,34.206.2.235
shiksha.com,54.251.103.25
apowersoft.com,47.252.13.107
radikal.ru,81.176.238.240
practo.com,52.77.2.236
loom.com,35.163.21.228
hertz.com,12.5.245.11
gotquestions.org,69.61.58.206
finanzen.net,40.114.166.29
cgpeers.to,89.248.162.151
collegedunia.com,3.7.198.108
koindut.com,139.45.196.76
cornell.edu,128.253.173.247
wunderground.com,23.54.89.208
vice.com,34.225.39.192
lavanguardia.com,51.68.114.63
userbenchmark.com,54.39.161.167
protect-your-privacy.net,13.35.180.178
360.cn,36.110.213.10
zety.com,35.246.245.247
lyst.com,34.246.221.211
smallpdf.com,13.35.174.205
redalyc.org,148.215.2.1
optus.com.au,104.116.136.183
onlineconverter.com,107.180.71.144
mcgill.ca,132.216.177.160
sony.com,54.144.253.202
wallpapercave.com,51.79.72.220
mit.edu,184.26.196.231
skladchik.com,185.178.211.4
dietdoctor.com,3.222.1.38
unity3d.com,23.215.196.52
quirkybyte.com,139.59.65.231
primevideo.com,13.35.183.17
illinois.edu,192.17.172.3
drugs.com,23.57.227.197
ndtv.com,23.57.229.12
yandex.com,77.88.55.77
neuvoo.com,158.69.76.164
cnzz.com,203.119.169.238
ceair.com,122.119.74.139
58.com,115.159.231.173
ovh.net,213.186.33.6
freepik.com,51.254.235.118
shopee.ph,103.115.76.67
customink.com,52.200.199.187
themeisle.com,52.6.22.199
wyzant.com,35.193.209.74
ximalaya.com,180.153.255.122
sci-hub.se,186.2.163.219
thomsonreuters.com,167.68.44.27
tilda.cc,178.248.233.147
nyc.gov,157.188.12.160
helpshift.com,52.8.46.42
kaiserpermanente.org,162.119.192.164
webmd.com,207.231.204.56
france24.com,104.120.88.209
poetryfoundation.org,34.70.71.64
sapo.pt,213.13.146.142
babytree.com,59.110.149.245
easycounter.com,52.1.22.171
msn.com,13.82.28.61
farfetch.com,104.108.99.163
epidemicsound.com,13.35.183.42
unity.com,104.121.245.199
gencat.cat,83.247.129.60
bmo.com,72.246.93.219
huffingtonpost.fr,124.108.115.101
azure.com,104.41.9.139
barclaycard.co.uk,23.8.178.136
driverscape.com,192.99.170.88
wix.com,185.230.63.164
3ddd.ru,88.198.119.9
duckduckgo.com,40.81.94.43
amazon.cn,54.222.60.218
soft112.com,104.243.34.208
stitchfix.com,34.226.231.254
trustedreviews.com,34.241.23.183
r7.com,3.234.20.58
sncf.com,90.85.36.106
businessdictionary.com,54.221.202.219
zerochan.net,51.83.237.80
gleam.io,108.170.54.74
miwifi.com,183.84.5.58
iwanttodeliver.com,185.88.180.104
tdameritrade.com,198.200.171.204
filerio.in,94.102.59.60
va.gov,152.130.96.221
safefinder.com,168.62.48.183
web-hosting.com,198.54.117.206
rackspace.com,3.227.192.229
justia.com,174.129.213.48
melon.com,121.53.216.8
memrise.com,3.230.13.201
lastpass.com,23.8.184.143
pts.org.pk,175.107.240.161
mycinema.pro,45.63.21.91
ycombinator.com,13.35.183.12
siteground.com,35.223.122.181
sydney.edu.au,129.78.5.8
navient.com,2.17.83.60
tradingeconomics.com,3.215.139.146
alphacoders.com,144.217.71.114
webnovel.com,49.51.20.16
discover.com,23.211.152.154
nch.com.au,66.39.105.214
sephora.com,104.69.171.36
wallpaperscraft.com,195.201.130.60
pandora.com,208.85.40.20
usbank.com,170.135.184.254
office365.com,52.165.129.203
motorsport.com,18.233.252.26
ustc.edu.cn,202.38.64.246
fluentu.com,18.209.84.169
sina.cn,36.51.254.236
allegro.pl,5.134.213.82
macaro-ni.jp,23.63.110.194
rozblog.com,79.127.127.68
chrono.gg,13.35.183.121
vlive.tv,125.209.234.134
microcenter.com,66.194.187.21
shafaqna.com,188.165.203.55
hinative.com,34.200.157.100
bt.com,213.121.43.135
ajc.com,54.173.216.145
starwars.com,23.15.33.232
edx.org,13.35.183.126
indiatvnews.com,13.235.145.10
convertio.co,13.35.183.128
smzdm.com,117.50.14.128
vev.io,188.240.220.201
telecomitalia.it,156.54.82.96
xe.com,13.35.183.41
rstyle.me,52.204.145.2
1001tracklists.com,158.69.5.7
psu.edu,146.186.157.8
timeout.com,13.224.66.41
jetbrains.com,13.35.183.66
caixin.com,43.242.49.141
plex.tv,99.80.242.242
amazon.com.br,72.21.203.171
thingiverse.com,35.227.80.0
leagueoflegends.com,18.158.15.150
oxfordlearnersdictionaries.com,54.194.135.101
issuu.com,3.215.37.208
xbox.com,40.112.72.205
bahn.de,52.57.183.117
healthunlocked.com,52.30.59.57
